task,model_name,point_index,false_positive_rate,true_positive_rate,threshold
malignant_vs_non_malignant,Low-signal morphology baseline,6,0.4090909090909091,0.5714285714285714,0.4791037555208052
malignant_vs_non_malignant,Low-signal morphology baseline,7,0.4090909090909091,0.8571428571428571,0.3575775574932103
malignant_vs_non_malignant,Low-signal morphology baseline,8,1.0,0.8571428571428571,0.004172975867837879
malignant_vs_non_malignant,Low-signal morphology baseline,9,1.0,1.0,0.00015964147536228046
malignant_vs_non_malignant,Full-feature baseline,0,0.0,0.0,inf
malignant_vs_non_malignant,Full-feature baseline,1,0.0,0.14285714285714285,0.9907389619187469
malignant_vs_non_malignant,Full-feature baseline,2,0.0,0.2857142857142857,0.9313502244357714
malignant_vs_non_malignant,Full-feature baseline,3,0.13636363636363635,0.2857142857142857,0.8390086549622089
malignant_vs_non_malignant,Full-feature baseline,4,0.13636363636363635,0.42857142857142855,0.753065084435321
malignant_vs_non_malignant,Full-feature baseline,5,0.22727272727272727,0.42857142857142855,0.5188912784870542
malignant_vs_non_malignant,Full-feature baseline,6,0.22727272727272727,0.5714285714285714,0.46627174149392175
malignant_vs_non_malignant,Full-feature baseline,7,0.45454545454545453,0.5714285714285714,0.2750219764292153
malignant_vs_non_malignant,Full-feature baseline,8,0.45454545454545453,0.7142857142857143,0.23227563956124073
malignant_vs_non_malignant,Full-feature baseline,9,0.8181818181818182,0.7142857142857143,0.06316241736017032
malignant_vs_non_malignant,Full-feature baseline,10,0.8181818181818182,0.8571428571428571,0.05499130366042956
malignant_vs_non_malignant,Full-feature baseline,11,0.9090909090909091,0.8571428571428571,0.019593030014820715
malignant_vs_non_malignant,Full-feature baseline,12,0.9090909090909091,1.0,0.004981364180810602
malignant_vs_non_malignant,Full-feature baseline,13,1.0,1.0,0.004328553068419842
malignant_vs_non_malignant,Task-specific compact panel,0,0.0,0.0,inf
malignant_vs_non_malignant,Task-specific compact panel,1,0.0,0.14285714285714285,0.940396738770324
