task,task_display,feature_1,feature_2,spearman_rho,spearman_p_descriptive,abs_spearman_rho
malignant_vs_non_malignant,Malignant vs non-malignant,Median,P90,0.90723179782704,1.1659745676034924e-11,0.90723179782704
malignant_vs_non_malignant,Malignant vs non-malignant,Median,IQR,0.19416041735135997,0.31285985120445675,0.19416041735135997
malignant_vs_non_malignant,Malignant vs non-malignant,Median,Skewness,-0.7113466051946399,1.519436376128142e-05,0.7113466051946399
malignant_vs_non_malignant,Malignant vs non-malignant,Median,Kurtosis,0.06726623596056,0.7288175598942196,0.06726623596056
malignant_vs_non_malignant,Malignant vs non-malignant,Median,GrayEntropy,0.44376004016472,0.015893598407641863,0.44376004016472
malignant_vs_non_malignant,Malignant vs non-malignant,Median,GLCM_contrast,0.20648024078736,0.282530120167389,0.20648024078736
malignant_vs_non_malignant,Malignant vs non-malignant,Median,GLCM_dissimilarity,0.18750771269591998,0.33004715098681325,0.18750771269591998
malignant_vs_non_malignant,Malignant vs non-malignant,Median,GLCM_homogeneity,-0.19366762441391996,0.3141135589958317,0.19366762441391996
malignant_vs_non_malignant,Malignant vs non-malignant,Median,GLCM_ASM,-0.40778615573159993,0.02810255133698788,0.40778615573159993
malignant_vs_non_malignant,Malignant vs non-malignant,Median,GLCM_energy,-0.41443886038704,0.025401000722568682,0.41443886038704
malignant_vs_non_malignant,Malignant vs non-malignant,Median,GLCM_correlation,0.2887766613398399,0.1286911438244402,0.2887766613398399
malignant_vs_non_malignant,Malignant vs non-malignant,Median,GLCM_entropy,0.40975732748135996,0.027278827947573137,0.40975732748135996
malignant_vs_non_malignant,Malignant vs non-malignant,Median,LowSignalRatio,-0.4829370786912,0.007963403612284935,0.4829370786912
malignant_vs_non_malignant,Malignant vs non-malignant,Median,HighSignalRatio,0.88136016861144,2.7565064747091846e-10,0.88136016861144
malignant_vs_non_malignant,Malignant vs non-malignant,Median,LowObj_Count,-0.36951701466965264,0.04851430810333303,0.36951701466965264
malignant_vs_non_malignant,Malignant vs non-malignant,Median,LowObj_Density_per_10kpx,-0.41567084273064,0.024924773227840175,0.41567084273064
malignant_vs_non_malignant,Malignant vs non-malignant,Median,LowObj_MeanArea_px,-0.2887766613398399,0.1286911438244402,0.2887766613398399
malignant_vs_non_malignant,Malignant vs non-malignant,Median,LowObj_MedianArea_px,-0.18504374800871998,0.3365562673430414,0.18504374800871998
malignant_vs_non_malignant,Malignant vs non-malignant,Median,LowObj_MeanCircularity,0.28483431784032,0.13422943032251908,0.28483431784032
malignant_vs_non_malignant,Malignant vs non-malignant,Median,LowObj_MeanSolidity,0.42133796151119995,0.022827059001162855,0.42133796151119995
malignant_vs_non_malignant,Malignant vs non-malignant,Median,LowObj_MeanEccentricity,0.017247752810400002,0.9292386618057789,0.017247752810400002
malignant_vs_non_malignant,Malignant vs non-malignant,Median,LowObj_MeanAspectRatio,-0.05691758427432,0.7693190372362069,0.05691758427432
malignant_vs_non_malignant,Malignant vs non-malignant,Median,LowObj_TotalAreaRatio_filtered,-0.44252805782112,0.01622272797470508,0.44252805782112
malignant_vs_non_malignant,Malignant vs non-malignant,Min,Max,-0.18514796051928453,0.3362794001166424,0.18514796051928453
malignant_vs_non_malignant,Malignant vs non-malignant,Min,P10,0.39016768621174697,0.036399163144363124,0.39016768621174697
malignant_vs_non_malignant,Malignant vs non-malignant,Min,P25,0.22137239396685138,0.2484685452842707,0.22137239396685138
malignant_vs_non_malignant,Malignant vs non-malignant,Min,P75,0.18764995998576137,0.32967373613433515,0.18764995998576137
malignant_vs_non_malignant,Malignant vs non-malignant,Min,P90,0.13505804522714315,0.48484690242828365,0.13505804522714315
malignant_vs_non_malignant,Malignant vs non-malignant,Min,IQR,-0.23635157914750057,0.21705918275449249,0.23635157914750057
malignant_vs_non_malignant,Malignant vs non-malignant,Min,Skewness,-0.17007309398973583,0.3777574884565999,0.17007309398973583
malignant_vs_non_malignant,Malignant vs non-malignant,Min,Kurtosis,0.28074565882864483,0.14015478751450267,0.28074565882864483
malignant_vs_non_malignant,Malignant vs non-malignant,Min,GrayEntropy,-0.23322523550798335,0.22338062220795218,0.23322523550798335
malignant_vs_non_malignant,Malignant vs non-malignant,Min,GLCM_contrast,-0.24385480388234185,0.2023862765335646,0.24385480388234185
malignant_vs_non_malignant,Malignant vs non-malignant,Min,GLCM_dissimilarity,-0.3251397385097891,0.08524578076370146,0.3251397385097891
malignant_vs_non_malignant,Malignant vs non-malignant,Min,GLCM_homogeneity,0.3820391927490022,0.04083886279578557,0.3820391927490022
malignant_vs_non_malignant,Malignant vs non-malignant,Min,GLCM_ASM,0.2701160904542863,0.15644308643660226,0.2701160904542863
malignant_vs_non_malignant,Malignant vs non-malignant,Min,GLCM_energy,0.24885695370556937,0.19299187869898166,0.24885695370556937
malignant_vs_non_malignant,Malignant vs non-malignant,Min,GLCM_correlation,-0.1413107325061776,0.4646634417166712,0.1413107325061776
